instrument,family,config_id,config_json,development_trades,gross_expectancy_r,base_cost_expectancy_r,cost_2x_expectancy_r,haircut_0_70_expectancy_r,median_stop_price,p25_stop_price,round_trip_base_price_cost,round_trip_2x_price_cost,base_cost_ge_median_stop,base_cost_ge_p25_stop,cost_2x_ge_median_stop,cost_2x_ge_p25_stop,first_failing_gate,years_contributing,max_year_share,confirmation_expectancy_r,dsr_confidence,random_entry_95_r,shuffle_95_r,loyo_min_expectancy_r
BTC,F1,10,"{""entry_window"":30,""range_bars"":30,""stop_range"":1.0,""target_r"":1.0}",7640,-0.05002191419563341,-1.7179080298686966,-3.3857941455417597,-1.7994594702659041,73.5,33.11000000000013,70.0,140.0,False,True,True,True,random_entry_95,6,0.17670157068062828,-0.48795351110161883,0.0,0.014659685863874346,0.02176701570680627,-2.022999047475468
BTC,F1,11,"{""entry_window"":30,""range_bars"":30,""stop_range"":1.0,""target_r"":2.0}",5872,-0.021272320054044815,-1.679985210888302,-3.3386981017225588,-1.861620294930878,72.49000000000024,32.969999999999345,70.0,140.0,False,True,True,True,random_entry_95,6,0.18903269754768393,-0.440454581622611,0.0,0.5312925749318801,0.5342557901907358,-2.0038722756263834
BTC,F1,12,"{""entry_window"":60,""range_bars"":30,""stop_range"":0.5,""target_r"":1.0}",18236,-0.06031235687930762,-3.3486026581080655,-6.636892959336824,-3.3870926621926594,35.80249999999796,16.594999999999345,70.0,140.0,True,True,True,True,random_entry_95,6,0.18107041017767053,-0.8942881761840666,0.0,0.011252467646413664,0.012184689624917741,-3.9353916149930885
BTC,F1,13,"{""entry_window"":60,""range_bars"":30,""stop_range"":0.5,""target_r"":2.0}",14195,-0.017302523566837993,-3.415549090131336,-6.8137956566958335,-3.5231038363017553,35.0,16.07250000000022,70.0,140.0,True,True,True,True,random_entry_95,6,0.17696371961958435,-0.8587944048249364,0.0,0.5187143360338147,0.5189362451567453,-4.018280581667445
BTC,F1,14,"{""entry_window"":60,""range_bars"":30,""stop_range"":1.0,""target_r"":1.0}",10496,-0.0522263171164862,-1.6680914322126117,-3.2839565473087373,-1.7494691468182066,74.65999999999804,34.17750000000024,70.0,140.0,False,True,True,True,random_entry_95,6,0.17463795731707318,-0.45476344432931354,0.0,0.017425685975609728,0.01773056402439024,-1.955357492609661
BTC,F1,15,"{""entry_window"":60,""range_bars"":30,""stop_range"":1.0,""target_r"":2.0}",7184,-0.01669140636934174,-1.5659855086394414,-3.115279610909541,-1.7521893501697883,75.60000000000036,34.7775000000006,70.0,140.0,False,True,True,True,random_entry_95,6,0.18889198218262807,-0.4399079541249306,0.0,0.535913140311804,0.527185412026726,-1.8643176431420967
BTC,F2,0,"{""compression"":0.5,""expansion"":1.0,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":1.0}",31554,0.02316666195606699,-10.69134207633751,-21.40585081463108,-10.695380134708019,10.198916666667174,5.143625000000156,70.0,140.0,True,True,True,True,random_entry_95,6,0.21832414273943082,-3.4335646812530585,0.0,0.007913418267097657,0.009776890410090633,-11.938323234056647
BTC,F2,1,"{""compression"":0.5,""expansion"":1.0,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":2.0}",29681,0.13409254578220675,-10.556431408815651,-21.246955363413505,-10.583882850171227,10.314833333333809,5.1771666666663805,70.0,140.0,True,True,True,True,random_entry_95,6,0.22216232606718103,-3.3258557327432317,0.0,0.5163387352178161,0.5148175600552541,-11.81606528814377
BTC,F2,2,"{""compression"":0.5,""expansion"":1.5,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":1.0}",13617,0.019534468044482,-12.577521434730448,-25.174577337505376,-12.580331189339383,8.720333333332746,4.485333333333983,70.0,140.0,True,True,True,True,random_entry_95,6,0.2304472350738048,-4.12231084291606,0.0,0.013314239553499294,0.014489241389439663,-13.932894458485876
BTC,F2,3,"{""compression"":0.5,""expansion"":1.5,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":2.0}",13458,0.14028836761492589,-12.451122713898233,-25.04253379541139,-12.473080662763834,8.754249999999956,4.4970833333329665,70.0,140.0,True,True,True,True,random_entry_95,6,0.23235250408678854,-3.9627809117895643,0.0,0.5220909496210432,0.5265827017387427,-13.806553316322015
BTC,F2,4,"{""compression"":0.75,""expansion"":1.0,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":1.0}",151621,-0.01144002192023386,-8.649332138803144,-17.28722425568606,-8.654486036285975,12.55483333333541,6.225833333333867,70.0,140.0,True,True,True,True,random_entry_95,6,0.19350221934956238,-2.7279262154464883,0.0,0.0037831171143838903,0.004372745200203138,-10.037667972096456
BTC,F2,5,"{""compression"":0.75,""expansion"":1.0,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":2.0}",122198,0.08714669519711056,-8.629090957936882,-17.345328611070876,-8.664388960127633,12.573916666666264,6.218375000000378,70.0,140.0,True,True,True,True,random_entry_95,6,0.20320299841241266,-2.694931220992709,0.0,0.5070754022160755,0.5064579616687671,-10.039231633260394
BTC,F2,6,"{""compression"":0.75,""expansion"":1.5,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":1.0}",76933,-0.01408727949337986,-9.454416782182156,-18.89474628487093,-9.458609357302446,11.401666666668461,5.719333333332543,70.0,140.0,True,True,True,True,random_entry_95,6,0.18436821650007149,-2.928138179260012,0.0,0.005266920567246825,0.005322813357076935,-10.919927228797015
BTC,F2,7,"{""compression"":0.75,""expansion"":1.5,""long_window"":60,""short_window"":10,""stop_atr"":1.0,""target_r"":2.0}",71355,0.09129315852758518,-9.338862857181248,-18.769018872890083,-9.370516329640926,11.48700000000099,5.744250000000648,70.0,140.0,True,True,True,True,random_entry_95,6,0.19030201107140354,-2.8312161464251213,0.0,0.509741433676687,0.5108072314483918,-10.812078190550993
BTC,F2,8,"{""compression"":0.5,""expansion"":1.0,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":1.0}",5753,0.04488599160376033,-13.888277476762264,-27.821440945128288,-13.893365306628699,9.0,4.267333333333227,70.0,140.0,True,True,True,True,random_entry_95,6,0.28002781157656875,-4.8010881547848845,0.0,0.026629584564574992,0.018633756301060303,-15.29743916411843
BTC,F2,9,"{""compression"":0.5,""expansion"":1.0,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":2.0}",5483,0.18151178363969384,-13.877522333863151,-27.936556451365995,-13.900716050448821,9.022000000000844,4.222666666667465,70.0,140.0,True,True,True,True,random_entry_95,6,0.282509575050155,-4.638987710515625,0.0,0.5309137333576509,0.5299288710559913,-15.313067064168239
BTC,F2,10,"{""compression"":0.5,""expansion"":1.5,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":1.0}",2288,0.06381118881117992,-18.490972106998008,-37.0457554028072,-18.493858578478804,6.861416666666628,3.3145416666657184,70.0,140.0,True,True,True,True,random_entry_95,6,0.3243006993006993,-6.220007797168604,0.0,0.028889860139860127,0.028146853146853088,-20.2102165836374
BTC,F2,11,"{""compression"":0.5,""expansion"":1.5,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":2.0}",2279,0.21105748135147046,-18.36001389540766,-36.9310852721668,-18.379420842108477,6.862166666665871,3.3127499999991414,70.0,140.0,True,True,True,True,random_entry_95,6,0.3247038174637999,-6.00491345754599,0.0,0.5546950416849495,0.5494295743747257,-20.08447297819447
BTC,F2,12,"{""compression"":0.75,""expansion"":1.0,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":1.0}",80634,0.0008833632177048091,-9.070856326582536,-18.14259601638278,-9.075909629427674,11.963166666667348,6.012166666666644,70.0,140.0,True,True,True,True,random_entry_95,6,0.20886970756752735,-2.815708136588684,0.0,0.0057395143487858685,0.004503063223950191,-10.346273378731896
BTC,F2,13,"{""compression"":0.75,""expansion"":1.0,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":2.0}",65453,0.10526987471462634,-9.088883464349982,-18.283036803414593,-9.121786979181518,11.988666666667996,5.989166666666279,70.0,140.0,True,True,True,True,random_entry_95,6,0.21814126166867828,-2.7745600438418867,0.0,0.5088987517760836,0.5091027149252135,-10.384241171638747
BTC,F2,14,"{""compression"":0.75,""expansion"":1.5,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":1.0}",40041,-0.0014235408706083441,-10.05844688528053,-20.11547022969045,-10.062429761666854,10.76783333333151,5.423166666666475,70.0,140.0,True,True,True,True,random_entry_95,6,0.20181813641017957,-3.066420244862678,0.0,0.008626158187857441,0.007589720536450131,-11.403630521974527
BTC,F2,15,"{""compression"":0.75,""expansion"":1.5,""long_window"":60,""short_window"":20,""stop_atr"":1.0,""target_r"":2.0}",37239,0.10738741641827142,-9.972184909348691,-20.051757235115655,-10.001136011348105,10.782333333332645,5.431000000000495,70.0,140.0,True,True,True,True,random_entry_95,6,0.20733639464002793,-2.967033426028773,0.0,0.5126198340449528,0.5101345363731572,-11.321295537332682
BTC,F3,0,"{""lookback"":15,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":1.0,""threshold"":0.001}",108120,-0.050184979652238705,-7.084654429681699,-14.11912387971116,-7.09075853225254,14.681666666665478,7.284249999999702,70.0,140.0,True,True,True,True,random_entry_95,6,0.1993433222345542,-2.4828935955317704,0.0,0.004718830928597853,0.004885312615612282,-8.519433084043428
BTC,F3,1,"{""lookback"":15,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":2.0,""threshold"":0.001}",71364,0.04935261476374583,-7.192642689349426,-14.434637993462598,-7.230897467068707,14.20283333333191,7.081583333333583,70.0,140.0,True,True,True,True,random_entry_95,6,0.19516843226276553,-2.451956982372318,0.0,0.5098621153522784,0.5116466285522112,-8.635195231125737
BTC,F3,2,"{""lookback"":15,""risk_window"":30,""sessions"":[""new_york""],""stop_atr"":1.0,""target_r"":1.0,""threshold"":0.001}",200539,-0.05332129909892843,-6.138876255885904,-12.22443121267288,-6.1470446847055795,18.115333333331364,8.614833333333081,70.0,140.0,True,True,True,True,random_entry_95,6,0.1887712614503912,-1.6981718072785446,0.0,0.0034975740379676766,0.0033983414697390524,-7.284239600263721
BTC,F3,3,"{""lookback"":15,""risk_window"":30,""sessions"":[""new_york""],""stop_atr"":1.0,""target_r"":2.0,""threshold"":0.001}",129514,0.0453696125515389,-6.195738409928359,-12.436846432408261,-6.244448780883204,17.620833333332484,8.412916666667115,70.0,140.0,True,True,True,True,random_entry_95,6,0.18564016245347995,-1.6608751594256692,0.0,0.5063016353444415,0.5064452491622528,-7.349454482593042
BTC,F3,4,"{""lookback"":15,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":1.0,""threshold"":0.002}",70860,-0.07169065763477284,-5.5548881761262345,-11.038085694617696,-5.563745311112907,19.598166666667566,9.320666666666511,70.0,140.0,True,True,True,True,random_entry_95,6,0.23982500705616708,-1.9569301981823968,0.0,0.0061078182331357565,0.006982782952300306,-6.91548102721026
BTC,F3,5,"{""lookback"":15,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":2.0,""threshold"":0.002}",49077,0.01968335472828402,-5.695959509117919,-11.411602372964122,-5.745918514387719,18.71666666666715,8.934000000000196,70.0,140.0,True,True,True,True,random_entry_95,6,0.23326609205941684,-1.9080300086777642,0.0,0.5112201234794302,0.5130570328259673,-7.071382596064906
BTC,F3,6,"{""lookback"":15,""risk_window"":30,""sessions"":[""new_york""],""stop_atr"":1.0,""target_r"":1.0,""threshold"":0.002}",141633,-0.07150169805059552,-4.872502683049812,-9.673503668049028,-4.8834779111694875,22.968000000000757,10.819333333332906,70.0,140.0,True,True,True,True,random_entry_95,6,0.21437800512592403,-1.3399745342534584,0.0,0.004893633545854426,0.004407164996858073,-5.889328797509079
BTC,F3,7,"{""lookback"":15,""risk_window"":30,""sessions"":[""new_york""],""stop_atr"":1.0,""target_r"":2.0,""threshold"":0.002}",96493,0.01758676795207962,-4.979740441274079,-9.977067650500238,-5.03884114606456,21.892666666666628,10.391666666666424,70.0,140.0,True,True,True,True,random_entry_95,6,0.21108266920916544,-1.2686332133201488,0.0,0.5070295254578052,0.5068849553853648,-6.020828700017173
BTC,F3,8,"{""lookback"":30,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":1.0,""threshold"":0.001}",115289,-0.049692511861495973,-7.392171364538033,-14.73465021721457,-7.3979495969021425,13.980999999999767,6.987333333333481,70.0,140.0,True,True,True,True,random_entry_95,6,0.19081612296056,-2.6207056322010116,0.0,0.004589336363399804,0.005141860888723117,-8.820118677884688
BTC,F3,9,"{""lookback"":30,""risk_window"":30,""sessions"":[""london""],""stop_atr"":1.0,""target_r"":2.0,""threshold"":0.001}",74722,0.05446856347528153,-7.463179756541601,-14.980828076558483,-7.500355477960263,13.547166666666726,6.819749999999658,70.0,140.0,True,True,True,True,random_entry_95,6,0.1858488798479698,-2.5931015225185026,0.0,0.5086079066406145,0.5084473113674687,-8.882642102961222
